Year,Country,Country Url,Region Code,Region,Rank Per Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Social Support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,alpha-2,alpha-3
2019,Mauritius,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,2,AFRICA,Africa,57,5.8880,Green,1.1200,0.0000,1.4020,0.7980,0.4980,0.2150,0.0600,MU,MUS
2019,Japan,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,142,ASIA,Asia,58,5.8860,Green,1.3270,0.0000,1.4190,1.0880,0.4450,0.0690,0.1400,JP,JPN
2019,Honduras,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19,AMERICAS,Americas,59,5.8600,Green,0.6420,0.0000,1.2360,0.8280,0.5070,0.2460,0.0780,HN,HND
2019,Kazakhstan,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,142,ASIA,Asia,60,5.8090,Green,1.1730,0.0000,1.5080,0.7290,0.4100,0.1460,0.0960,KZ,KAZ
2019,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,Americas,61,5.7790,Green,0.7760,0.0000,1.2090,0.7060,0.5110,0.1370,0.0640,BO,BOL
2019,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150,EUROPE,Europe,62,5.7580,Green,1.2010,0.0000,1.4100,0.8280,0.1990,0.0810,0.0200,HU,HUN
2019,Paraguay,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,19,AMERICAS,Americas,63,5.7430,Green,0.8550,0.0000,1.4750,0.7770,0.5140,0.1840,0.0800,PY,PRY
2019,Peru,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,19,AMERICAS,Americas,65,5.6970,Green,0.9600,0.0000,1.2740,0.8540,0.4550,0.0830,0.0270,PE,PER
2019,Portugal,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,150,EUROPE,Europe,66,5.6930,Green,1.2210,0.0000,1.4310,0.9990,0.5080,0.0470,0.0250,PT,PRT
2019,Pakistan,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,142,ASIA,Asia,67,5.6530,Green,0.6770,0.0000,0.8860,0.5350,0.3130,0.2200,0.0980,PK,PAK
2019,Russia,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,150,EUROPE,Europe,68,5.6480,Green,1.1830,0.0000,1.4520,0.7260,0.3340,0.0820,0.0310,RU,RUS
2019,Philippines,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,142,ASIA,Asia,69,5.6310,Green,0.8070,0.0000,1.2930,0.6570,0.5580,0.1170,0.1070,PH,PHL
2019,Serbia,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,150,EUROPE,Europe,70,5.6030,Green,1.0040,0.0000,1.3830,0.8540,0.2820,0.1370,0.0390,RS,SRB
2019,Moldova,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,150,EUROPE,Europe,71,5.5290,Amber,0.6850,0.0000,1.3280,0.7390,0.2450,0.1810,0.0000,MD,MDA
2019,Libya,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,2,AFRICA,Africa,72,5.5250,Amber,1.0440,0.0000,1.3030,0.6730,0.4160,0.1330,0.1520,LY,LBY
2019,Montenegro,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,150,EUROPE,Europe,73,5.5230,Amber,1.0510,0.0000,1.3610,0.8710,0.1970,0.1420,0.0800,ME,MNE
2019,Tajikistan,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,142,ASIA,Asia,74,5.4670,Amber,0.4930,0.0000,1.0980,0.7180,0.3890,0.2300,0.1440,TJ,TJK
2019,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150,EUROPE,Europe,75,5.4320,Amber,1.1550,0.0000,1.2660,0.9140,0.2960,0.1190,0.0220,HR,HRV
2019,Hong Kong,,142,ASIA,Asia,76,5.4300,Amber,1.4380,0.0000,1.2770,1.1220,0.4400,0.2580,0.2870,HK,HKG
2019,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19,AMERICAS,Americas,77,5.4250,Amber,1.0150,0.0000,1.4010,0.7790,0.4970,0.1130,0.1010,DO,DOM
2019,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,nan,,78,5.3860,Amber,0.9450,0.0000,1.2120,0.8450,0.2120,0.2630,0.0060,,
2019,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,142,ASIA,Asia,79,5.3730,Amber,1.1830,0.0000,1.3600,0.8080,0.1950,0.0830,0.1060,TR,TUR
2019,Malaysia,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,142,ASIA,Asia,80,5.3390,Amber,1.2210,0.0000,1.1710,0.8280,0.5080,0.2600,0.0240,MY,MYS
